"Candidate","Length","LastWriteTime","Reason"
"frontend/src/components/ops/OrchestrationPanel.tsx","8062","2026-03-19 오후 9:19:07","not_imported_by_relative_scan"
"frontend/src/components/ops/RecentBenchmarkCard.tsx","4175","2026-03-19 오후 9:16:24","not_imported_by_relative_scan"
"frontend/src/components/ops/RequestStatusBar.tsx","4145","2026-03-19 오후 9:55:05","not_imported_by_relative_scan"
"frontend/src/components/ops/ScoreboardCard.tsx","2290","2026-03-19 오후 9:16:15","not_imported_by_relative_scan"
"frontend/src/components/ops/UsageSummaryCard.tsx","3490","2026-03-19 오후 9:16:07","not_imported_by_relative_scan"
"scripts/run-benchmark.mjs","2323","2026-03-18 오후 8:51:33","not_imported_by_relative_scan"
"scripts/run-benchmark.ts","1420","2026-03-16 오후 7:47:17","not_imported_by_relative_scan"
"scripts/smoke-claude.mjs","398","2026-03-15 오후 2:24:00","not_imported_by_relative_scan"
"scripts/smoke-openai.mjs","383","2026-03-15 오후 2:23:47","not_imported_by_relative_scan"
"scripts/smoke-runtime.mjs","375","2026-03-15 오후 2:24:11","not_imported_by_relative_scan"
"server/src/adapters/claude.ts","6353","2026-03-19 오후 11:24:53","not_imported_by_relative_scan"
"server/src/adapters/gemini.ts","9467","2026-03-19 오후 10:39:49","not_imported_by_relative_scan"
"server/src/adapters/openai.ts","3296","2026-03-19 오후 11:35:47","not_imported_by_relative_scan"
"server/src/adapters/perplexity.ts","4057","2026-03-17 오후 9:10:59","not_imported_by_relative_scan"
"server/src/adapters/types.ts","1145","2026-03-17 오후 9:10:58","not_imported_by_relative_scan"
"server/src/benchmark/evaluator.ts","15572","2026-03-17 오후 11:00:52","not_imported_by_relative_scan"
"server/src/benchmark/scoreboard.ts","14019","2026-03-17 오후 9:37:51","not_imported_by_relative_scan"
"server/src/claims/claimsEngine.ts","8919","2026-03-18 오후 3:18:27","not_imported_by_relative_scan"
"server/src/claims/types.ts","333","2026-03-16 오전 10:25:15","not_imported_by_relative_scan"
"server/src/conflicts/conflictDetector.ts","6739","2026-03-18 오후 2:18:53","not_imported_by_relative_scan"
"server/src/memory/projectMemory.ts","1578","2026-03-15 오후 1:36:06","not_imported_by_relative_scan"
"server/src/memory/threadMemory.ts","807","2026-03-15 오후 1:36:06","not_imported_by_relative_scan"
"server/src/orchestra/adapterDispatcher.ts","21259","2026-03-20 오전 9:36:56","not_imported_by_relative_scan"
"server/src/orchestra/adaptiveRouter.ts","773","2026-03-20 오전 9:50:49","not_imported_by_relative_scan"
"server/src/orchestra/benchmark.ts","2989","2026-03-19 오후 10:26:36","not_imported_by_relative_scan"
"server/src/orchestra/claims.ts","2807","2026-03-19 오후 5:08:07","not_imported_by_relative_scan"
"server/src/orchestra/conflicts.ts","4187","2026-03-19 오후 5:08:14","not_imported_by_relative_scan"
"server/src/orchestra/dynamicScoreboardRouter.ts","9034","2026-03-19 오후 7:15:27","not_imported_by_relative_scan"
"server/src/orchestra/judge.ts","10970","2026-03-19 오후 5:13:47","not_imported_by_relative_scan"
"server/src/orchestra/modelScoreboard.ts","8544","2026-03-19 오후 10:26:24","not_imported_by_relative_scan"
"server/src/orchestra/planner.ts","3778","2026-03-19 오전 12:00:36","not_imported_by_relative_scan"
"server/src/orchestra/router.ts","342","2026-03-14 오후 5:57:15","not_imported_by_relative_scan"
"server/src/orchestra/runtime.ts","3339","2026-03-20 오전 9:50:44","not_imported_by_relative_scan"
"server/src/orchestra/scoreboard.ts","9701","2026-03-19 오후 7:15:13","not_imported_by_relative_scan"
"server/src/orchestra/usage.ts","4837","2026-03-19 오후 5:29:55","not_imported_by_relative_scan"
"server/src/planner/planner.ts","4289","2026-03-17 오후 11:00:35","not_imported_by_relative_scan"
"server/src/planner/types.ts","882","2026-03-15 오후 1:36:06","not_imported_by_relative_scan"
"server/src/synthesis/finalAnswer.ts","7998","2026-03-17 오후 9:37:40","not_imported_by_relative_scan"
